name,person_id,popularity
Dane Bowling,3694666,0.0794
Addison Rae,2773990,2.8779
Kiowa Gordon,84218,1.2704
Sterling Beaumon,80641,0.594
Alexander Skarsgård,28846,5.8384
Natasha Liu Bordizzo,1583307,2.3688
Brent Bailey,4540985,0.0071
Lucy Liu,140,6.5728
Shelby Shea,4627247,0.0311
Daniel Lissing,1256300,1.8553
Matthew Modine,8654,3.9301
Matthias Schweighöfer,16808,2.6028
Ludacris,8171,1.489
Brendan Fehr,72440,1.6328
Sarah J. Butler,3391260,0.1828
Vanessa Marshall,81663,0.9095
Théodore Pellerin,1505023,0.5854
Jensen Ackles,49624,6.7353
Camille Rowe,1128902,0.6565
Roland Evan,4204750,0.0789
Adam Arkin,55257,1.8115
Daniel Cudmore,84222,0.7185
Emily Hall,2209427,2.8372
Laura Stetman,1650904,0.1149
Paul Sidhu,1678404,0.6157
Charlie Bodin,169019,0.4288
Adam Hampton,1743231,0.3445
Chappell Roan,4528424,0.4111
Rhys Darby,82666,0.9092
Candi Milo,95257,0.7738
Carlos Rebollo,5073573,0.0493
Mark Ruffalo,103,5.0894
Nick Preston,1375552,0.4825
Crispian Belfrage,110244,0.1774
Tonya Williams Ogden,3009715,0.1034
Ben Wang,3033265,1.0962
Todd Bridges,75340,1.1753
John Carroll Lynch,3911,1.8424
Craig Stark,183519,0.8248
Nate Fitch,4476156,0.0071
Alexia Fast,203630,1.7502
Colleen O'Shaughnessey,1212864,0.5575
Moray Treadwell,1791599,0.2411
Taylor Swift,212208,3.5123
Jillian Murray,118362,1.6396
Betty Osceola,4150785,0.0416
Mardy Fish,3264529,0.0697
Yvonne Orji,1662651,0.8576
Justine Bateman,105647,1.9339
Jordana Brewster,22123,3.5569
Finn Jones,1223787,1.7986
Peter Greene,11803,23.693
Adam Pearson,1675188,0.6192
Ken Griffey Jr.,1214267,0.4916
Keir Gilchrist,132712,1.6106
Colton Little,2189320,0.434
Yulia Navalnaya,2953474,0.3571
Travis Willingham,1221888,0.7922
Sean Kanan,65205,1.1418
Rob Scallon,1644382,0.0743
D. B. Sweeney,61962,1.2641
Nicholas Jarnot,2042757,0.0409
Gleb Savchenko,2384934,0.2378
Joey Bragg,1072271,1.3104
Colby Crain,3661883,0.1248
Sana Kedar Shinde,4045911,0.0143
Victoria De Mare,104458,0.3384
Lora Burke,1649898,0.5123
Alexa Rachelle Jennings,3486449,0.0662
Freya Allan,2146942,4.8837
Alexandra Daddario,109513,11.9115
Mimi Keene,1694711,1.8856
Nicola Wright,216988,0.629
Harriet Slater,2480853,0.9861
Jan Skene,2127703,0.6722
Justin Hartley,1222596,2.7263
Erin Cahill,78044,2.7923
Maisy Stella,1104567,1.077
Daniel Dae Kim,18307,2.5368
Antonia Clarke,1278555,0.5774
Ella Cannon,1836396,1.5315
Rico Reid,3362501,0.0071
Adam Nagaitis,1435230,0.9152
Corey Sevier,43265,1.6494
Peter Billingsley,12708,1.4921
Sofia Wylie,1768965,1.5434
Eugene Grygo,5057297,0.0143
Tom Nelis,1926554,0.2501
Vincent D'Onofrio,7132,5.0137
Angela Smeraldi,3032866,0.0261
Fivel Stewart,205955,1.0766
Trevor Torseth,1352568,0.243
David Eggers II,1511962,0.1211
Bernie Ecclestone,1112222,0.1109
Odeya Rush,1121786,2.7552
José Andrés Puerta,965744,0.3087
Peter Dinklage,22970,4.6628
Eiza González,1222992,7.2056
Lupita Nyong'o,1267329,3.4492
Yan Jiaqi,3408128,0.0311
Jet Jandreau,3146133,0.1577
Theo James,587020,7.7252
Angela Gulner,1328421,0.421
Wendy McColm,1302197,0.3325
Jimmy Gonzáles,1091423,1.2352
Brett Cullen,16841,1.8281
Emily Shenaut,3130413,0.0522
Alexis Carra,1181309,0.497
Julian Schnabel,7482,0.3315
Michelle Yeoh,1620,4.1262
Rachael Leigh Cook,38581,2.0722
Brooke Carter,2750967,1.1408
Jennifer Wigmore,150201,0.5075
Meg Biddle Smith,3753372,0.0664
Chelsie Preston Crayford,1211193,1.2339
Helen Crevel,1681967,0.146
Nancy Cartwright,200,1.4835
Pascal Yen-Pfister,1067718,0.3592
Julia Mayorga,2559472,0.2907
Jonas Bloquet,566080,1.6845
Jason Marsden,61983,1.6733
Eugenio Mastrandrea,1147420,1.0941
