movie_id,title,release_date,popularity,vote_average,vote_count,has_theatrical_release,providers,director,genres,budget,main_cast,runtime,production_company_count,has_major_studio,is_franchise,release_year,release_month,is_summer_release,is_holiday_release,cast_star_power,director_popularity,vote_density,log_budget,log_votes,gt_peak,gt_auc,gt_decay,yt_views,yt_likes,yt_views_density,yt_likes_density,success_bool
436969,The Suicide Squad,2021-08-06,21.9077,7.476,9267,TRUE,['HBO Max'],James Gunn,"['Action', 'Comedy', 'Adventure']",185000000,"['Margot Robbie', 'Idris Elba', 'John Cena']",132,4,FALSE,TRUE,2021,8,TRUE,FALSE,10.7258,3.0854,1853.4,19.03586639,9.134322886,100,948,0.12,4173050,112408,834610,22481.6,TRUE
438631,Dune,2021-10-22,18.4341,7.777,14202,TRUE,['HBO Max'],Denis Villeneuve,"['Science Fiction', 'Adventure']",165000000,"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac']",155,1,FALSE,TRUE,2021,10,FALSE,FALSE,9.4193,2.7082,2840.4,18.92145604,9.561208489,100,1199,0.18,48655026,696087,9731005.2,139217.4,TRUE
568124,Encanto,2021-11-24,14.599,7.577,9957,TRUE,['Disney Plus'],Byron Howard,"['Animation', 'Comedy', 'Family', 'Fantasy']",150000000,"['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo']",102,1,FALSE,TRUE,2021,11,FALSE,TRUE,2.8426,1.9059,1991.4,18.82614586,9.206131527,100,1546,0.43,49862551,302049,9972510.2,60409.8,TRUE
791373,Zack Snyder's Justice League,2021-03-18,14.0524,8.102,10520,FALSE,['HBO Max'],Zack Snyder,"['Action', 'Adventure', 'Fantasy']",70000000,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",242,6,FALSE,FALSE,2021,3,FALSE,FALSE,15.2126,4.897,2104,18.06400581,9.261128539,100,824,0.08,3650550,42208,730110,8441.6,TRUE
801335,Girl in the Basement,2021-02-27,14.4466,7.577,802,FALSE,['Hulu'],Elisabeth Röhm,"['Thriller', 'Crime', 'TV Movie']",0,"['Judd Nelson', 'Stefanie Scott', 'Joely Fisher']",88,3,FALSE,FALSE,2021,2,FALSE,FALSE,1.4669,2.7583,160.4,0,6.688354714,100,1706,0.52,1545786,3672,309157.2,734.4,TRUE
637649,Wrath of Man,2021-05-07,12.5441,7.6,5844,TRUE,['Amazon Prime Video'],Guy Ritchie,"['Thriller', 'Crime', 'Drama']",40000000,"['Jason Statham', 'Holt McCallany', 'Rocci Williams']",119,2,FALSE,FALSE,2021,5,TRUE,FALSE,16.1735,4.7997,1168.8,17.50439004,8.673341874,100,1790,0.55,39775803,163562,7955160.6,32712.4,TRUE
645710,The Voyeurs,2021-08-25,12.7544,6.5,1088,FALSE,['Amazon Prime Video'],Michael Mohan,['Thriller'],0,"['Sydney Sweeney', 'Justice Smith', 'Ben Hardy']",117,1,FALSE,FALSE,2021,8,TRUE,FALSE,18.8964,0.3144,217.6,0,6.993015123,100,651,0,5220582,29282,1044116.4,5856.4,TRUE
497698,Black Widow,2021-07-09,11.8931,7.186,10897,TRUE,['Disney Plus'],Cate Shortland,"['Action', 'Adventure', 'Science Fiction']",200000000,"['Scarlett Johansson', 'Florence Pugh', 'Rachel Weisz']",134,1,FALSE,FALSE,2021,7,TRUE,FALSE,24.8595,1.6817,2179.4,19.11382793,9.296334565,100,758,0.08,35408274,681417,7081654.8,136283.4,TRUE
512195,Red Notice,2021-11-05,11.5601,6.8,6203,TRUE,['Netflix'],Rawson Marshall Thurber,"['Action', 'Comedy', 'Crime']",160000000,"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot']",118,3,FALSE,FALSE,2021,11,FALSE,TRUE,7.7104,0.5771,1240.6,18.89068438,8.732949524,100,701,0.09,9930856,109134,1986171.2,21826.8,TRUE
566525,Shang-Chi and the Legend of the Ten Rings,2021-09-03,10.9974,7.503,10071,TRUE,['Disney Plus'],Destin Daniel Cretton,"['Action', 'Adventure', 'Fantasy']",150000000,"['Simu Liu', 'Tony Leung Chiu-wai', 'Awkwafina']",132,1,FALSE,FALSE,2021,9,FALSE,FALSE,11.1764,1.1701,2014.2,18.82614586,9.217514576,100,893,0.34,34075574,572361,6815114.8,114472.2,TRUE
